"correctPChoices","correctPOChoice","correctPTChoice","goodPOChoice","goodPTChoice","pOChoice","pTChoice","primeStrength","primeStrengthText","primeType","primeTypeText","responseCatMatchesPrimeCat","responseChoice","responseChoiceText","responseType","responseTypeText","rt","trial_type","uniqueID"
"True","True","True",0,0,0,0,0,"weak",3,"four","filler",0,"weak",3,"four",9,"filler",0
"True","True","True",1,1,1,1,1,"strong",3,"four","filler",0,"weak",3,"four",5,"filler",0
"True","True","True",1,1,1,1,1,"strong",0,"some","True",1,"better",0,"some",3,"response",0
"False","True","False",0,1,0,0,1,"strong",1,"four","False",1,"better",0,"some",2,"response",0
"False","False","True",1,0,0,0,0,"weak",0,"some","True",0,"weak",0,"some",3,"response",0
"False","False","True",0,1,1,1,0,"weak",1,"four","True",1,"better",1,"four",2,"response",0
"False","False","False",0,1,1,0,1,"strong",0,"some","True",1,"better",0,"some",3,"response",0
"False","False","True",1,0,0,0,0,"weak",4,"four","filler",1,"better",4,"four",2,"filler",0
"False","False","True",1,1,0,1,1,"strong",0,"some","False",1,"better",1,"four",3,"response",0
"False","False","True",0,0,1,0,1,"strong",4,"four","filler",0,"weak",4,"four",2,"filler",0
"False","False","False",1,0,0,1,1,"strong",1,"four","False",0,"weak",0,"some",3,"response",0
"False","False","True",1,1,0,1,0,"weak",0,"some","False",0,"weak",1,"four",2,"response",0
"False","False","False",0,0,1,1,1,"strong",4,"four","filler",0,"weak",4,"four",3,"filler",0
"False","False","True",1,1,0,1,0,"weak",0,"some","True",1,"better",0,"some",2,"response",0
"False","False","True",1,0,0,0,0,"weak",1,"four","False",1,"better",0,"some",2,"response",0
"False","False","True",1,0,0,0,1,"strong",1,"four","False",0,"weak",0,"some",2,"response",0
"False","False","False",0,0,1,1,0,"weak",3,"four","filler",0,"weak",3,"four",2,"filler",0
"False","False","True",0,0,1,0,1,"strong",0,"some","False",1,"better",1,"four",3,"response",0
"False","False","False",1,1,0,0,0,"weak",1,"four","False",0,"weak",0,"some",2,"response",0
"True","True","True",1,1,1,1,1,"strong",0,"some","True",1,"better",0,"some",2,"response",0
"False","False","True",0,1,1,1,1,"strong",1,"four","True",1,"better",1,"four",1,"response",0
"True","True","True",1,0,1,0,0,"weak",0,"some","False",1,"better",1,"four",1,"response",0
"True","True","True",1,1,1,1,1,"strong",0,"some","False",0,"weak",1,"four",2,"response",0
"True","True","True",0,0,0,0,1,"strong",3,"four","filler",1,"better",3,"four",2,"filler",0
"False","True","False",0,1,0,0,0,"weak",0,"some","True",0,"weak",0,"some",2,"response",0
"True","True","True",1,1,1,1,1,"strong",1,"four","True",1,"better",1,"four",2,"response",0
"False","False","False",1,1,0,0,0,"weak",4,"four","filler",1,"better",4,"four",2,"filler",0
"False","False","False",1,0,0,1,0,"weak",1,"four","False",0,"weak",0,"some",3,"response",0
"False","False","False",0,0,1,1,0,"weak",1,"four","True",0,"weak",1,"four",2,"response",0
"False","False","False",1,0,0,1,1,"strong",1,"four","True",0,"weak",1,"four",1,"response",0
"True","True","True",0,0,0,0,1,"strong",3,"four","filler",0,"weak",3,"four",2,"filler",0
"False","False","False",1,0,0,1,1,"strong",1,"four","False",0,"weak",0,"some",2,"response",0
"False","False","False",1,1,0,0,0,"weak",0,"some","False",0,"weak",1,"four",2,"response",0
"False","False","False",0,1,1,0,1,"strong",0,"some","False",0,"weak",1,"four",2,"response",0
"True","True","True",0,1,0,1,1,"strong",1,"four","True",0,"weak",1,"four",2,"response",0
"False","False","True",0,0,1,0,1,"strong",0,"some","True",0,"weak",0,"some",2,"response",0
"False","False","False",1,0,0,1,0,"weak",1,"four","True",0,"weak",1,"four",2,"response",0
"False","False","False",0,1,1,0,0,"weak",1,"four","True",0,"weak",1,"four",2,"response",0
"False","True","False",1,1,1,0,0,"weak",0,"some","False",1,"better",1,"four",1,"response",0
"False","True","False",0,0,0,1,1,"strong",4,"four","filler",1,"better",4,"four",2,"filler",0
"False","True","False",0,0,0,1,0,"weak",0,"some","True",1,"better",0,"some",2,"response",0
"False","False","False",1,1,0,0,0,"weak",1,"four","False",1,"better",0,"some",2,"response",0
"False","False","True",1,1,0,1,0,"weak",1,"four","False",0,"weak",0,"some",7,"response",1
"False","False","False",1,1,0,0,1,"strong",1,"four","False",0,"weak",0,"some",2,"response",1
"False","True","False",1,1,1,0,0,"weak",1,"four","True",1,"better",1,"four",3,"response",1
"False","False","False",1,1,0,0,0,"weak",0,"some","False",1,"better",1,"four",3,"response",1
"True","True","True",0,0,0,0,1,"strong",0,"some","False",0,"weak",1,"four",3,"response",1
"False","True","False",1,0,1,1,1,"strong",1,"four","False",1,"better",0,"some",2,"response",1
"True","True","True",0,0,0,0,0,"weak",3,"four","filler",0,"weak",3,"four",3,"filler",1
"False","True","False",0,1,0,0,1,"strong",0,"some","False",0,"weak",1,"four",3,"response",1
"False","True","False",1,0,1,1,0,"weak",1,"four","False",1,"better",0,"some",3,"response",1
"False","False","False",1,0,0,1,0,"weak",1,"four","False",1,"better",0,"some",3,"response",1
"False","False","False",1,1,0,0,0,"weak",1,"four","False",1,"better",0,"some",2,"response",1
"False","False","False",0,1,1,0,0,"weak",0,"some","False",0,"weak",1,"four",3,"response",1
"False","False","True",0,1,1,1,0,"weak",0,"some","True",1,"better",0,"some",3,"response",1
"False","False","True",1,1,0,1,1,"strong",4,"four","filler",0,"weak",4,"four",2,"filler",1
"True","True","True",1,0,1,0,0,"weak",3,"four","filler",0,"weak",3,"four",3,"filler",1
"False","True","False",0,0,0,1,1,"strong",0,"some","True",1,"better",0,"some",2,"response",1
"False","False","False",1,1,0,0,1,"strong",1,"four","True",1,"better",1,"four",3,"response",1
"False","False","False",0,0,1,1,1,"strong",0,"some","True",0,"weak",0,"some",2,"response",1
"True","True","True",1,0,1,0,0,"weak",3,"four","filler",0,"weak",3,"four",2,"filler",1
"False","False","False",0,1,1,0,0,"weak",1,"four","True",0,"weak",1,"four",2,"response",1
"False","False","False",0,0,1,1,0,"weak",4,"four","filler",1,"better",4,"four",2,"filler",1
"True","True","True",0,1,0,1,0,"weak",1,"four","True",1,"better",1,"four",2,"response",1
"True","True","True",1,1,1,1,1,"strong",4,"four","filler",0,"weak",4,"four",2,"filler",1
"True","True","True",0,1,0,1,0,"weak",0,"some","True",1,"better",0,"some",2,"response",1
"False","False","True",0,1,1,1,0,"weak",0,"some","False",0,"weak",1,"four",2,"response",1
"False","False","True",0,1,1,1,1,"strong",1,"four","True",1,"better",1,"four",2,"response",1
